ticker	name	country
A2A	A2A	Italië
A5G	AIB GROUP PLC	Ierland
AALB	AALBERTS NV	Nederland
ABI	ANHEUSER-BUSCH INBEV SA	België
ABN	ABN AMRO BANK NV	Nederland
ABVX	ABIVAX SA	Frankrijk
AC	ACCOR SA	Frankrijk
ACA	CREDIT AGRICOLE SA	Frankrijk
ACKB	ACKERMANS & VAN HAAREN NV	België
ACS	ACS ACTIVIDADES DE CONSTRUCCION Y	Spanje
AD	KONINKLIJKE AHOLD DELHAIZE NV	Nederland
ADP	AEROPORTS DE PARIS SA	Frankrijk
ADS	ADIDAS N AG	Duitsland
ADYEN	ADYEN NV	Nederland
AED	AEDIFICA NV	België
AENA	AENA SME SA	Spanje
AG1	AUTO1 GROUP	Duitsland
AGN	AEGON LTD	Nederland
AGS	AGEAS SA	België
AI	LAIR LIQUIDE SOCIETE ANONYME POUR	Frankrijk
AIR	AIRBUS GROUP	Frankrijk
AIXA	AIXTRON	Duitsland
AKE	ARKEMA SA	Frankrijk
AKZA	AKZO NOBEL NV	Nederland
ALLFG	ALLFUNDS GROUP PLC	Nederland
ALO	ALSTOM SA	Frankrijk
ALV	ALLIANZ	Duitsland
AM	DASSAULT AVIATION SA	Frankrijk
AMS	AMADEUS IT GROUP SA	Spanje
AMUN	AMUNDI SA	Frankrijk
AMV0	AUMOVIO N	Duitsland
ANA	ACCIONA SA	Spanje
ANDR	ANDRITZ AG	Oostenrijk
ARCAD	ARCADIS NV	Nederland
ARGX	ARGENX	België
ASM	ASM INTERNATIONAL NV	Nederland
ASML	ASML HOLDING NV	Nederland
ASRNL	ASR NEDERLAND NV	Nederland
AYV	AYVENS SA	Frankrijk
AZM	AZIMUT HOLDING	Italië
BAMI	BANCO BPM	Italië
BAS	BASF N	Duitsland
BAYN	BAYER AG	Duitsland
BBVA	BANCO BILBAO VIZCAYA ARGENTARIA SA	Spanje
BC	BRUNELLO CUCINELLI	Italië
BC8	BECHTLE AG	Duitsland
BCP	BANCO COMERCIAL PORTUGUES SA	Portugal
BEI	BEIERSDORF AG	Duitsland
BESI	BE SEMICONDUCTOR INDUSTRIES NV	Nederland
BG	BAWAG GROUP AG	Oostenrijk
BGN	BANCA GENERALI	Italië
BIM	BIOMERIEUX SA	Frankrijk
BIRG	BANK OF IRELAND GROUP PLC	Ierland
BKT	BANKINTER SA	Spanje
BMED	BANCA MEDIOLANUM	Italië
BMPS	BANCA MONTE DEI PASCHI DI SIENA SP	Italië
BMW	BMW AG	Duitsland
BN	DANONE SA	Frankrijk
BNP	BNP PARIBAS SA	Frankrijk
BNR	BRENNTAG	Duitsland
BOL	BOLLORE	Frankrijk
BPE	BPER BANCA	Italië
BVI	BUREAU VERITAS SA	Frankrijk
BZU	BUZZI	Italië
CA	CARREFOUR SA	Frankrijk
CABK	CAIXABANK SA	Spanje
CAP	CAPGEMINI	Frankrijk
CBK	COMMERZBANK AG	Duitsland
CDI	CHRISTIAN DIOR	Frankrijk
CHF	CHF/EUR	Europese Unie
